Vármegye,Település,Becslőjárás
Borsod-Abaúj-Zemplén,Kazincbarcika,133
Borsod-Abaúj-Zemplén,Kázsmárk,167
Borsod-Abaúj-Zemplén,Kéked,73
Borsod-Abaúj-Zemplén,Kelemér,132
Borsod-Abaúj-Zemplén,Kenézlő,121
Borsod-Abaúj-Zemplén,Keresztéte,139
Borsod-Abaúj-Zemplén,Kesznyéten,186
Borsod-Abaúj-Zemplén,Királd,134
Borsod-Abaúj-Zemplén,Kiscsécs,186
Borsod-Abaúj-Zemplén,Kisgyőr,102
Borsod-Abaúj-Zemplén,Kishuta,74
Borsod-Abaúj-Zemplén,Kiskinizs,167
Borsod-Abaúj-Zemplén,Kisrozvágy,79
Borsod-Abaúj-Zemplén,Kissikátor,134
Borsod-Abaúj-Zemplén,Kistokaj,106
Borsod-Abaúj-Zemplén,Komjáti,187
Borsod-Abaúj-Zemplén,Komlóska,168
Borsod-Abaúj-Zemplén,Kondó,133
Borsod-Abaúj-Zemplén,Korlát,167
Borsod-Abaúj-Zemplén,Kovácsvágás,74
Borsod-Abaúj-Zemplén,Köröm,186
Borsod-Abaúj-Zemplén,Krasznokvajda,139
Borsod-Abaúj-Zemplén,Kupa,167
Borsod-Abaúj-Zemplén,Kurityán,29
Borsod-Abaúj-Zemplén,Lácacséke,79
Borsod-Abaúj-Zemplén,Ládbesenyő,29
Borsod-Abaúj-Zemplén,Lak,29
Borsod-Abaúj-Zemplén,Legyesbénye,186
Borsod-Abaúj-Zemplén,Léh,167
Borsod-Abaúj-Zemplén,Lénárddaróc,134
Borsod-Abaúj-Zemplén,Litka,139
Borsod-Abaúj-Zemplén,Mád,185
Borsod-Abaúj-Zemplén,Makkoshotyka,138
Borsod-Abaúj-Zemplén,Mályi,106
Borsod-Abaúj-Zemplén,Mályinka,134
Borsod-Abaúj-Zemplén,Martonyi,29
Borsod-Abaúj-Zemplén,Megyaszó,186
Borsod-Abaúj-Zemplén,Méra,167
Borsod-Abaúj-Zemplén,Meszes,29
Borsod-Abaúj-Zemplén,Mezőcsát,106
Borsod-Abaúj-Zemplén,Mezőkeresztes,100
Borsod-Abaúj-Zemplén,Mezőkövesd,100
Borsod-Abaúj-Zemplén,Mezőnagymihály,101
Borsod-Abaúj-Zemplén,Mezőnyárád,100
Borsod-Abaúj-Zemplén,Mezőzombor,185
Borsod-Abaúj-Zemplén,Mikóháza,74
Borsod-Abaúj-Zemplén,Miskolc,106
Borsod-Abaúj-Zemplén,Mogyoróska,168
Borsod-Abaúj-Zemplén,Monaj,167
Borsod-Abaúj-Zemplén,Monok,186
Borsod-Abaúj-Zemplén,Múcsony,29
Borsod-Abaúj-Zemplén,Muhi,106
Borsod-Abaúj-Zemplén,Nagybarca,134
Borsod-Abaúj-Zemplén,Nagycsécs,106
Borsod-Abaúj-Zemplén,Nagyhuta,74
Borsod-Abaúj-Zemplén,Nagykinizs,167
Borsod-Abaúj-Zemplén,Nagyrozvágy,79
Borsod-Abaúj-Zemplén,Négyes,101
Borsod-Abaúj-Zemplén,Nekézseny,134
Borsod-Abaúj-Zemplén,Nemesbikk,106
Borsod-Abaúj-Zemplén,Novajidrány,167
Borsod-Abaúj-Zemplén,Nyékládháza,106
Borsod-Abaúj-Zemplén,Nyésta,167
Borsod-Abaúj-Zemplén,Nyíri,74
Borsod-Abaúj-Zemplén,Nyomár,29
Borsod-Abaúj-Zemplén,Olaszliszka,184
Borsod-Abaúj-Zemplén,Onga,167
Borsod-Abaúj-Zemplén,Ónod,106
Borsod-Abaúj-Zemplén,Ormosbánya,29
Borsod-Abaúj-Zemplén,Oszlár,106
Borsod-Abaúj-Zemplén,Ózd,134
Borsod-Abaúj-Zemplén,Pácin,79
Borsod-Abaúj-Zemplén,Pálháza,74
Borsod-Abaúj-Zemplén,Pamlény,139
Borsod-Abaúj-Zemplén,Pányok,73
Borsod-Abaúj-Zemplén,Parasznya,133
Borsod-Abaúj-Zemplén,Pere,167
Borsod-Abaúj-Zemplén,Perecse,139
Borsod-Abaúj-Zemplén,Perkupa,189
Borsod-Abaúj-Zemplén,Prügy,122
Borsod-Abaúj-Zemplén,Pusztafalu,74
Borsod-Abaúj-Zemplén,Pusztaradvány,139
Borsod-Abaúj-Zemplén,Putnok,131
Borsod-Abaúj-Zemplén,Radostyán,133
Borsod-Abaúj-Zemplén,Ragály,132
Borsod-Abaúj-Zemplén,Rakaca,29
Borsod-Abaúj-Zemplén,Rakacaszend,29
Borsod-Abaúj-Zemplén,Rásonysápberencs,167
Borsod-Abaúj-Zemplén,Rátka,185
Borsod-Abaúj-Zemplén,Regéc,168
Borsod-Abaúj-Zemplén,Répáshuta,106
Borsod-Abaúj-Zemplén,Révleányvár,79
Borsod-Abaúj-Zemplén,Ricse,79
Borsod-Abaúj-Zemplén,Rudabánya,29
Borsod-Abaúj-Zemplén,Rudolftelep,29
Borsod-Abaúj-Zemplén,Sajóbábony,106
Borsod-Abaúj-Zemplén,Sajóecseg,106
